date,sentences
"2017-08-01",872
"2017-08-02",949
"2017-08-03",966
"2017-08-04",588
"2017-08-05",388
"2017-08-06",276
"2017-08-07",730
"2017-08-08",870
"2017-08-09",709
"2017-08-10",820
"2017-08-11",604
"2017-08-12",403
"2017-08-13",373
"2017-08-14",801
"2017-08-15",1148
"2017-08-16",981
"2017-08-17",815
"2017-08-18",614
"2017-08-19",348
"2017-08-20",295
"2017-08-21",998
"2017-08-22",696
"2017-08-23",1131
"2017-08-24",1851
"2017-08-25",2693
"2017-08-26",1955
"2017-08-27",2962
"2017-08-28",5072
"2017-08-29",5018
"2017-08-30",4436
"2017-08-31",3935
"2017-09-01",2746
"2017-09-02",1920
"2017-09-03",1435
"2017-09-04",1522
"2017-09-05",2114
"2017-09-06",1728
"2017-09-07",1607
"2017-09-08",1385
"2017-09-09",814
"2017-09-10",724
"2017-09-11",1226
"2017-09-12",1225
"2017-09-13",1067
"2017-09-14",1007
"2017-09-15",1123
"2017-09-16",554
"2017-09-17",523
"2017-09-18",726
"2017-09-19",985
"2017-09-20",866
"2017-09-21",809
"2017-09-22",1070
"2017-09-23",844
"2017-09-24",411
"2017-09-25",814
"2017-09-26",1296
"2017-09-27",924
"2017-09-28",863
"2017-09-29",949
"2017-09-30",504
"2017-10-01",604
"2017-10-02",844
"2017-10-03",891
"2017-10-04",781
"2017-10-05",907
"2017-10-06",758
"2017-10-07",411
"2017-10-08",400
"2017-10-09",832
"2017-10-10",962
"2017-10-11",1089
"2017-10-12",1027
"2017-10-13",774
"2017-10-14",606
"2017-10-15",332
"2017-10-16",409
