date,sentences
"2017-08-01",108
"2017-08-02",31
"2017-08-03",26
"2017-08-04",42
"2017-08-05",31
"2017-08-06",11
"2017-08-07",57
"2017-08-08",82
"2017-08-09",45
"2017-08-10",16
"2017-08-11",14
"2017-08-12",12
"2017-08-13",6
"2017-08-14",24
"2017-08-15",32
"2017-08-16",12
"2017-08-17",48
"2017-08-18",37
"2017-08-19",14
"2017-08-20",32
"2017-08-21",23
"2017-08-22",33
"2017-08-23",35
"2017-08-24",136
"2017-08-25",38
"2017-08-26",15
"2017-08-27",11
"2017-08-28",40
"2017-08-29",13
"2017-08-30",42
"2017-08-31",33
"2017-09-01",13
"2017-09-02",12
"2017-09-03",43
"2017-09-04",179
"2017-09-05",417
"2017-09-06",751
"2017-09-07",532
"2017-09-08",195
"2017-09-09",93
"2017-09-10",138
"2017-09-11",119
"2017-09-12",84
"2017-09-13",64
"2017-09-14",119
"2017-09-15",52
"2017-09-16",28
"2017-09-17",67
"2017-09-18",335
"2017-09-19",644
"2017-09-20",893
"2017-09-21",924
"2017-09-22",1012
"2017-09-23",450
"2017-09-24",566
"2017-09-25",1341
"2017-09-26",2110
"2017-09-27",1851
"2017-09-28",1883
"2017-09-29",1988
"2017-09-30",1355
"2017-10-01",1295
"2017-10-02",870
"2017-10-03",975
"2017-10-04",0
"2017-10-05",0
"2017-10-06",0
"2017-10-07",0
