date,sentences
"2017-08-01",156
"2017-08-02",182
"2017-08-03",135
"2017-08-04",138
"2017-08-05",125
"2017-08-06",77
"2017-08-07",126
"2017-08-08",83
"2017-08-09",119
"2017-08-10",99
"2017-08-11",94
"2017-08-12",57
"2017-08-13",57
"2017-08-14",78
"2017-08-15",115
"2017-08-16",134
"2017-08-17",199
"2017-08-18",116
"2017-08-19",63
"2017-08-20",44
"2017-08-21",86
"2017-08-22",119
"2017-08-23",106
"2017-08-24",93
"2017-08-25",125
"2017-08-26",44
"2017-08-27",93
"2017-08-28",110
"2017-08-29",175
"2017-08-30",171
"2017-08-31",207
"2017-09-01",146
"2017-09-02",82
"2017-09-03",52
"2017-09-04",39
"2017-09-05",132
"2017-09-06",103
"2017-09-07",133
"2017-09-08",89
"2017-09-09",70
"2017-09-10",91
"2017-09-11",137
"2017-09-12",139
"2017-09-13",112
"2017-09-14",147
"2017-09-15",158
"2017-09-16",159
"2017-09-17",179
"2017-09-18",136
"2017-09-19",188
"2017-09-20",146
"2017-09-21",158
"2017-09-22",134
"2017-09-23",131
"2017-09-24",112
"2017-09-25",165
"2017-09-26",120
"2017-09-27",201
"2017-09-28",172
"2017-09-29",130
"2017-09-30",166
"2017-10-01",177
"2017-10-02",114
"2017-10-03",67
"2017-10-04",0
"2017-10-05",0
"2017-10-06",0
"2017-10-07",3
