date,sentences
"2017-07-01",908
"2017-07-04",1269
"2017-07-07",819
"2017-07-10",1466
"2017-07-13",1343
"2017-07-16",1082
"2017-07-19",1717
"2017-07-22",895
"2017-07-25",1187
"2017-07-28",642
"2017-07-31",1258
"2017-08-03",1076
"2017-08-06",927
"2017-08-09",1261
"2017-08-12",907
"2017-08-15",1557
"2017-08-18",999
"2017-08-21",1701
"2017-08-24",1667
"2017-08-27",1289
"2017-08-30",1803
"2017-09-02",1682
"2017-09-05",7423
"2017-09-08",9995
"2017-09-11",8294
"2017-09-14",3576
"2017-09-17",2161
"2017-09-20",1898
"2017-09-23",1434
"2017-09-26",2236
"2017-09-29",1671
"2017-10-02",2071
"2017-10-05",1893
"2017-10-08",1213
"2017-10-11",1856
"2017-10-14",1074
"2017-10-17",2042
"2017-10-20",1620
