date,sentences
"2017-08-01",390
"2017-08-02",354
"2017-08-03",505
"2017-08-04",347
"2017-08-05",224
"2017-08-06",166
"2017-08-07",394
"2017-08-08",367
"2017-08-09",485
"2017-08-10",471
"2017-08-11",304
"2017-08-12",220
"2017-08-13",285
"2017-08-14",402
"2017-08-15",518
"2017-08-16",572
"2017-08-17",471
"2017-08-18",413
"2017-08-19",347
"2017-08-20",239
"2017-08-21",527
"2017-08-22",578
"2017-08-23",596
"2017-08-24",933
"2017-08-25",533
"2017-08-26",199
"2017-08-27",211
"2017-08-28",569
"2017-08-29",508
"2017-08-30",598
"2017-08-31",553
"2017-09-01",651
"2017-09-02",570
"2017-09-03",528
"2017-09-04",584
"2017-09-05",1580
"2017-09-06",2781
"2017-09-07",3058
"2017-09-08",3434
"2017-09-09",2979
"2017-09-10",4003
"2017-09-11",3760
"2017-09-12",2525
"2017-09-13",2004
"2017-09-14",1781
"2017-09-15",1089
"2017-09-16",703
"2017-09-17",545
"2017-09-18",700
"2017-09-19",913
"2017-09-20",701
"2017-09-21",620
"2017-09-22",577
"2017-09-23",541
"2017-09-24",360
"2017-09-25",518
"2017-09-26",832
"2017-09-27",728
"2017-09-28",675
"2017-09-29",559
"2017-09-30",491
"2017-10-01",621
"2017-10-02",688
"2017-10-03",746
"2017-10-04",635
"2017-10-05",722
"2017-10-06",699
"2017-10-07",472
"2017-10-08",395
"2017-10-09",433
"2017-10-10",385
"2017-10-11",761
"2017-10-12",600
"2017-10-13",493
"2017-10-14",308
"2017-10-15",263
"2017-10-16",254
