date,sentences
"2017-08-01",108
"2017-08-02",31
"2017-08-03",26
"2017-08-04",42
"2017-08-05",31
"2017-08-06",11
"2017-08-07",63
"2017-08-08",82
"2017-08-09",45
"2017-08-10",16
"2017-08-11",14
"2017-08-12",12
"2017-08-13",6
"2017-08-14",24
"2017-08-15",32
"2017-08-16",12
"2017-08-17",48
"2017-08-18",37
"2017-08-19",15
"2017-08-20",32
"2017-08-21",24
"2017-08-22",32
"2017-08-23",36
"2017-08-24",135
"2017-08-25",39
"2017-08-26",15
"2017-08-27",11
"2017-08-28",42
"2017-08-29",14
"2017-08-30",42
"2017-08-31",40
"2017-09-01",18
"2017-09-02",15
"2017-09-03",50
"2017-09-04",224
"2017-09-05",500
"2017-09-06",938
"2017-09-07",634
"2017-09-08",227
"2017-09-09",121
"2017-09-10",154
"2017-09-11",151
"2017-09-12",143
"2017-09-13",73
"2017-09-14",127
"2017-09-15",56
"2017-09-16",36
"2017-09-17",125
"2017-09-18",485
"2017-09-19",908
"2017-09-20",1461
"2017-09-21",1415
"2017-09-22",1270
"2017-09-23",665
"2017-09-24",674
"2017-09-25",1562
"2017-09-26",2577
"2017-09-27",2107
"2017-09-28",2177
"2017-09-29",2202
"2017-09-30",1593
"2017-10-01",1394
"2017-10-02",1026
"2017-10-03",2218
"2017-10-04",1493
"2017-10-05",825
"2017-10-06",1252
"2017-10-07",352
"2017-10-08",317
"2017-10-09",583
"2017-10-10",469
"2017-10-11",1006
"2017-10-12",1400
"2017-10-13",633
"2017-10-14",196
"2017-10-15",217
"2017-10-16",256
