date,sentences
"2017-07-01",1252
"2017-07-04",1882
"2017-07-07",1386
"2017-07-10",2479
"2017-07-13",1861
"2017-07-16",1954
"2017-07-19",2613
"2017-07-22",2175
"2017-07-25",3169
"2017-07-28",1301
"2017-07-31",2781
"2017-08-03",1944
"2017-08-06",1883
"2017-08-09",2133
"2017-08-12",1577
"2017-08-15",2939
"2017-08-18",1257
"2017-08-21",2825
"2017-08-24",6500
"2017-08-27",13053
"2017-08-30",11118
"2017-09-02",4877
"2017-09-05",5450
"2017-09-08",2872
"2017-09-11",3518
"2017-09-14",2685
"2017-09-17",2235
"2017-09-20",2747
"2017-09-23",2075
"2017-09-26",3086
"2017-09-29",2057
"2017-10-02",2517
"2017-10-05",2076
"2017-10-08",2196
"2017-10-11",2895
"2017-10-14",1689
"2017-10-17",2370
"2017-10-20",1900
