date,sentences
"2017-08-01",859
"2017-08-02",931
"2017-08-03",948
"2017-08-04",587
"2017-08-05",372
"2017-08-06",276
"2017-08-07",714
"2017-08-08",861
"2017-08-09",707
"2017-08-10",818
"2017-08-11",594
"2017-08-12",403
"2017-08-13",373
"2017-08-14",793
"2017-08-15",1141
"2017-08-16",977
"2017-08-17",813
"2017-08-18",600
"2017-08-19",344
"2017-08-20",292
"2017-08-21",992
"2017-08-22",675
"2017-08-23",1102
"2017-08-24",1561
"2017-08-25",2226
"2017-08-26",1739
"2017-08-27",2419
"2017-08-28",4572
"2017-08-29",4593
"2017-08-30",4084
"2017-08-31",3593
"2017-09-01",2571
"2017-09-02",1754
"2017-09-03",1354
"2017-09-04",1401
"2017-09-05",2020
"2017-09-06",1632
"2017-09-07",1480
"2017-09-08",1311
"2017-09-09",788
"2017-09-10",692
"2017-09-11",1185
"2017-09-12",1188
"2017-09-13",1020
"2017-09-14",969
"2017-09-15",1097
"2017-09-16",550
"2017-09-17",522
"2017-09-18",718
"2017-09-19",945
"2017-09-20",844
"2017-09-21",790
"2017-09-22",1024
"2017-09-23",827
"2017-09-24",402
"2017-09-25",798
"2017-09-26",1217
"2017-09-27",889
"2017-09-28",824
"2017-09-29",933
"2017-09-30",501
"2017-10-01",575
"2017-10-02",773
"2017-10-03",470
"2017-10-04",2
"2017-10-05",0
"2017-10-06",0
"2017-10-07",0
