date,sentences
"2017-08-01",5
"2017-08-02",1
"2017-08-03",0
"2017-08-04",0
"2017-08-05",0
"2017-08-06",0
"2017-08-07",5
"2017-08-08",0
"2017-08-09",0
"2017-08-10",6
"2017-08-11",2
"2017-08-12",0
"2017-08-13",0
"2017-08-14",0
"2017-08-15",5
"2017-08-16",0
"2017-08-17",2
"2017-08-18",0
"2017-08-19",4
"2017-08-20",0
"2017-08-21",0
"2017-08-22",4
"2017-08-23",8
"2017-08-24",478
"2017-08-25",1863
"2017-08-26",1140
"2017-08-27",1308
"2017-08-28",2338
"2017-08-29",2571
"2017-08-30",1798
"2017-08-31",1701
"2017-09-01",1245
"2017-09-02",839
"2017-09-03",637
"2017-09-04",782
"2017-09-05",1357
"2017-09-06",1033
"2017-09-07",863
"2017-09-08",846
"2017-09-09",448
"2017-09-10",315
"2017-09-11",443
"2017-09-12",542
"2017-09-13",516
"2017-09-14",367
"2017-09-15",284
"2017-09-16",91
"2017-09-17",128
"2017-09-18",301
"2017-09-19",236
"2017-09-20",241
"2017-09-21",188
"2017-09-22",214
"2017-09-23",81
"2017-09-24",45
"2017-09-25",138
"2017-09-26",384
"2017-09-27",169
"2017-09-28",149
"2017-09-29",179
"2017-09-30",38
"2017-10-01",46
"2017-10-02",89
"2017-10-03",143
"2017-10-04",130
"2017-10-05",104
"2017-10-06",124
"2017-10-07",27
"2017-10-08",57
"2017-10-09",85
"2017-10-10",86
"2017-10-11",242
"2017-10-12",105
"2017-10-13",82
"2017-10-14",28
"2017-10-15",21
"2017-10-16",76
