date,sentences
"2017-08-01",5
"2017-08-02",1
"2017-08-03",0
"2017-08-04",0
"2017-08-05",0
"2017-08-06",0
"2017-08-07",5
"2017-08-08",0
"2017-08-09",0
"2017-08-10",3
"2017-08-11",2
"2017-08-12",0
"2017-08-13",0
"2017-08-14",0
"2017-08-15",5
"2017-08-16",0
"2017-08-17",0
"2017-08-18",0
"2017-08-19",0
"2017-08-20",0
"2017-08-21",0
"2017-08-22",4
"2017-08-23",6
"2017-08-24",314
"2017-08-25",1364
"2017-08-26",998
"2017-08-27",1007
"2017-08-28",1974
"2017-08-29",2293
"2017-08-30",1611
"2017-08-31",1506
"2017-09-01",1113
"2017-09-02",702
"2017-09-03",547
"2017-09-04",715
"2017-09-05",1220
"2017-09-06",942
"2017-09-07",748
"2017-09-08",718
"2017-09-09",420
"2017-09-10",282
"2017-09-11",402
"2017-09-12",513
"2017-09-13",466
"2017-09-14",340
"2017-09-15",267
"2017-09-16",89
"2017-09-17",107
"2017-09-18",289
"2017-09-19",215
"2017-09-20",234
"2017-09-21",179
"2017-09-22",175
"2017-09-23",76
"2017-09-24",44
"2017-09-25",136
"2017-09-26",327
"2017-09-27",162
"2017-09-28",135
"2017-09-29",176
"2017-09-30",36
"2017-10-01",44
"2017-10-02",54
"2017-10-03",71
"2017-10-04",0
"2017-10-05",0
"2017-10-06",0
"2017-10-07",0
