date,sentences
"2017-08-01",2
"2017-08-02",0
"2017-08-03",0
"2017-08-04",1
"2017-08-05",0
"2017-08-06",0
"2017-08-07",3
"2017-08-08",0
"2017-08-09",1
"2017-08-10",2
"2017-08-11",3
"2017-08-12",0
"2017-08-13",0
"2017-08-14",1
"2017-08-15",1
"2017-08-16",0
"2017-08-17",0
"2017-08-18",0
"2017-08-19",0
"2017-08-20",0
"2017-08-21",0
"2017-08-22",1
"2017-08-23",1
"2017-08-24",0
"2017-08-25",2
"2017-08-26",0
"2017-08-27",1
"2017-08-28",1
"2017-08-29",0
"2017-08-30",1
"2017-08-31",62
"2017-09-01",66
"2017-09-02",36
"2017-09-03",52
"2017-09-04",221
"2017-09-05",803
"2017-09-06",1702
"2017-09-07",1998
"2017-09-08",2071
"2017-09-09",1598
"2017-09-10",2551
"2017-09-11",2424
"2017-09-12",1397
"2017-09-13",1064
"2017-09-14",898
"2017-09-15",488
"2017-09-16",316
"2017-09-17",245
"2017-09-18",360
"2017-09-19",582
"2017-09-20",301
"2017-09-21",268
"2017-09-22",205
"2017-09-23",88
"2017-09-24",76
"2017-09-25",131
"2017-09-26",276
"2017-09-27",116
"2017-09-28",104
"2017-09-29",151
"2017-09-30",108
"2017-10-01",43
"2017-10-02",88
"2017-10-03",48
"2017-10-04",0
"2017-10-05",0
"2017-10-06",0
"2017-10-07",0
